id,category,direction,baseline,result,improvement,cohort,source_url,construction
pack_ccq_n438,circular-quadrant,max,0.022172320003829325,0.022173224311224773,9.043073954488612e-07,announcement,https://packomania.com/ccq/txt/ccq438.txt,records/circular-quadrant/pack_ccq_n438/construction.json
pack_ccq_n451,circular-quadrant,max,0.021851998603060797,0.02185422411479292,2.2255117321234863e-06,announcement,https://packomania.com/ccq/txt/ccq451.txt,records/circular-quadrant/pack_ccq_n451/construction.json
pack_ccq_n455,circular-quadrant,max,0.021784715023646643,0.021785287083574842,5.720599281985872e-07,announcement,https://packomania.com/ccq/txt/ccq455.txt,records/circular-quadrant/pack_ccq_n455/construction.json
pack_ccq_n456,circular-quadrant,max,0.021762345306504866,0.02176368501883553,1.3397123306661818e-06,announcement,https://packomania.com/ccq/txt/ccq456.txt,records/circular-quadrant/pack_ccq_n456/construction.json
pack_ccq_n461,circular-quadrant,max,0.021640081712112205,0.021640502469736093,4.207576238882127e-07,announcement,https://packomania.com/ccq/txt/ccq461.txt,records/circular-quadrant/pack_ccq_n461/construction.json
pack_ccq_n464,circular-quadrant,max,0.02154426112349609,0.021544620990005824,3.5986650973388046e-07,announcement,https://packomania.com/ccq/txt/ccq464.txt,records/circular-quadrant/pack_ccq_n464/construction.json
pack_ccq_n465,circular-quadrant,max,0.021511020430517183,0.02151146231365551,4.4188313832668746e-07,announcement,https://packomania.com/ccq/txt/ccq465.txt,records/circular-quadrant/pack_ccq_n465/construction.json
pack_ccq_n477,circular-quadrant,max,0.02126636851371914,0.021266677146968616,3.08633249474638e-07,announcement,https://packomania.com/ccq/txt/ccq477.txt,records/circular-quadrant/pack_ccq_n477/construction.json
pack_ccq_n479,circular-quadrant,max,0.021225867692614114,0.02122624267666036,3.749840462446974e-07,announcement,https://packomania.com/ccq/txt/ccq479.txt,records/circular-quadrant/pack_ccq_n479/construction.json
pack_ccq_n486,circular-quadrant,max,0.021078120213483723,0.02107951108805253,1.3908745688066826e-06,announcement,https://packomania.com/ccq/txt/ccq486.txt,records/circular-quadrant/pack_ccq_n486/construction.json
pack_ccq_n493,circular-quadrant,max,0.02094402918931578,0.020944804564386632,7.753750708508478e-07,announcement,https://packomania.com/ccq/txt/ccq493.txt,records/circular-quadrant/pack_ccq_n493/construction.json
pack_ccq_n496,circular-quadrant,max,0.020869517522621606,0.020870991602323308,1.4740797017014085e-06,announcement,https://packomania.com/ccq/txt/ccq496.txt,records/circular-quadrant/pack_ccq_n496/construction.json
pack_ccq_n498,circular-quadrant,max,0.020828916089058836,0.020830259124545294,1.3430354864583938e-06,announcement,https://packomania.com/ccq/txt/ccq498.txt,records/circular-quadrant/pack_ccq_n498/construction.json
pack_ccq_n521,circular-quadrant,max,0.020357233745065557,0.020357893529246367,6.597841808106408e-07,announcement,https://packomania.com/ccq/txt/ccq521.txt,records/circular-quadrant/pack_ccq_n521/construction.json
pack_ccq_n530,circular-quadrant,max,0.02020661078163088,0.020206944930801576,3.3414917069429784e-07,announcement,https://packomania.com/ccq/txt/ccq530.txt,records/circular-quadrant/pack_ccq_n530/construction.json
pack_ccq_n534,circular-quadrant,max,0.02013767212712952,0.020138004753945442,3.326268159208057e-07,announcement,https://packomania.com/ccq/txt/ccq534.txt,records/circular-quadrant/pack_ccq_n534/construction.json
pack_ccq_n544,circular-quadrant,max,0.019928563724360745,0.019928995913764166,4.321894034216289e-07,announcement,https://packomania.com/ccq/txt/ccq544.txt,records/circular-quadrant/pack_ccq_n544/construction.json
pack_ccq_n551,circular-quadrant,max,0.019792604042147464,0.01979293076945832,3.2672731085578444e-07,announcement,https://packomania.com/ccq/txt/ccq551.txt,records/circular-quadrant/pack_ccq_n551/construction.json
pack_ccq_n585,circular-quadrant,max,0.019230272488535885,0.019231421419224463,1.148930688577715e-06,announcement,https://packomania.com/ccq/txt/ccq585.txt,records/circular-quadrant/pack_ccq_n585/construction.json
pack_ccq_n589,circular-quadrant,max,0.019159781495014877,0.019160415121223906,6.336262090289591e-07,announcement,https://packomania.com/ccq/txt/ccq589.txt,records/circular-quadrant/pack_ccq_n589/construction.json
pack_ccq_n592,circular-quadrant,max,0.019109962194278504,0.019110743541754637,7.813474761329819e-07,announcement,https://packomania.com/ccq/txt/ccq592.txt,records/circular-quadrant/pack_ccq_n592/construction.json
pack_ccq_n87,circular-quadrant,max,0.048394069366077104,0.048407803900790886,1.3734534713781554e-05,announcement,https://packomania.com/ccq/txt/ccq87.txt,records/circular-quadrant/pack_ccq_n87/construction.json
pack_coc_n32,octagon,max,0.147282442434,0.14729738042484086,1.4937990840874216e-05,announcement,https://packomania.com/coc/txt/coc32.txt,records/octagon/pack_coc_n32/construction.json
pack_csc_n121,semicircle,max,0.05839860817107424,0.05839957598467423,9.678135999904858e-07,announcement,https://packomania.com/csc/txt/csc121.txt,records/semicircle/pack_csc_n121/construction.json
